# Vocabulario general: palabras con V, X, Y y Z
VACA|Hembra del toro
VACACIONES|Días de descanso
VACIO|Sin nada dentro
VACUNA|Previene la enfermedad
VAGON|Coche del ferrocarril
VAINA|Funda de la espada
VAINILLA|Aroma del helado blanco
VAJILLA|Conjunto de platos y fuentes
VALLA|Cerca que delimita
VALLE|Terreno llano entre montes
VALOR|Coraje ante el peligro
VALS|Baile vienés de tres tiempos
VALVULA|Regula el paso del fluido
VAMPIRO|Muerto que chupa sangre
VAPOR|Agua en forma de gas
VAQUERO|Guarda las reses en el rancho
VARA|Palo largo y delgado
VARIEDAD|Diversidad de cosas
VASIJA|Recipiente de barro
VASO|Recipiente para beber
VECINDARIO|Conjunto de los vecinos
VEGETACION|Plantas de un lugar
VEHICULO|Medio de transporte
VEJEZ|Última etapa de la vida
VELA|Lona que impulsa el barco
VELOCIDAD|Rapidez del movimiento
VELODROMO|Pista de ciclismo
VENA|Conduce la sangre al corazón
VENDA|Tira que cubre la herida
VENENO|Sustancia que mata
VENGANZA|Desquite por una ofensa
VENTAJA|Superioridad sobre otro
VENTANA|Abertura del muro con cristal
VENTILADOR|Aparato que mueve el aire
VERANO|Estación más calurosa
VERDAD|Lo que es conforme a la realidad
VERDURA|Hortaliza de la huerta
VEREDA|Senda estrecha
VERGUENZA|Turbación ante los demás
VERJA|Reja de hierro de la entrada
VERRUGA|Bulto pequeño de la piel
VERSO|Línea de una poesía
VERTEDERO|Lugar donde se echa la basura
VESTIBULO|Entrada de un edificio
VESTIDO|Prenda femenina de una pieza
VETERINARIO|Médico de animales
VIA|Camino del tren
VIAJE|Traslado a un lugar lejano
VIBORA|Serpiente venenosa
VICIO|Costumbre mala y arraigada
VICTIMA|Quien sufre el daño
VICTORIA|Triunfo sobre el rival
VIDA|Existencia de un ser
VIDRIERA|Ventanal de cristales de colores
VIDRIO|Material duro y transparente
VIENTO|Aire que corre
VIENTRE|Cavidad del abdomen
VIERNES|Día que precede al sábado
VIGA|Madero que sostiene el techo
VIGILANTE|Cuida y observa
VILLA|Población con privilegios
VINAGRE|Líquido ácido del aliño
VINO|Bebida de la uva fermentada
VINEDO|Terreno plantado de vides
VIOLIN|Instrumento de cuatro cuerdas y arco
VIRTUD|Cualidad moral buena
VIRUELA|Enfermedad de las pústulas
VISERA|Ala delantera de la gorra
VISION|Capacidad de ver
VISITA|Persona que viene a casa
VISPERA|Día anterior a una fiesta
VISTA|Sentido con que se ve
VITAMINA|Nutriente necesario para la salud
VITRINA|Armario de cristal
VIUDA|Mujer que perdió al marido
VIVIENDA|Lugar donde se habita
VOCABULARIO|Conjunto de palabras
VOCACION|Inclinación a una profesión
VOLANTE|Se agarra al conducir
VOLCAN|Montaña que echa lava
VOLEIBOL|Deporte del balón sobre la red
VOLUMEN|Espacio que ocupa un cuerpo
VOLUNTAD|Facultad de decidir
VOTO|Papeleta de la elección
VOZ|Sonido que emite la garganta
VUELO|Trayecto del avión
VUELTA|Giro completo
XILOFONO|Instrumento de láminas y baquetas
YATE|Embarcación de recreo
YEGUA|Hembra del caballo
YEMA|Parte amarilla del huevo
YERNO|Marido de la hija
YESO|Material blanco de escayola
YOGUR|Producto lácteo fermentado
YUDO|Arte marcial japonés de agarres
YUNQUE|Pieza donde golpea el herrero
YUNTA|Par de bueyes de labor
ZAFIRO|Piedra preciosa azul
ZAGUAN|Entrada de la casa antigua
ZANAHORIA|Raíz naranja del conejo
ZANJA|Excavación larga y estrecha
ZAPATERO|Arregla el calzado
ZAPATILLA|Calzado cómodo de estar en casa
ZAPATO|Calzado de suela dura
ZARZA|Arbusto espinoso de moras
ZARZUELA|Teatro lírico español
ZEPELIN|Dirigible antiguo
ZOCALO|Franja baja de la pared
ZODIACO|Franja celeste de los doce signos
ZONA|Extensión de terreno
ZOOLOGICO|Parque de los animales
ZORRO|Mamífero astuto de cola espesa
ZUECO|Calzado de madera
