# Cuerpo humano, salud y medicina
CABEZA|Parte superior del cuerpo
CRANEO|Caja ósea que protege el cerebro
CEREBRO|Órgano del pensamiento
CEREBELO|Centro nervioso del equilibrio
FRENTE|Parte alta del rostro
SIEN|Lado de la frente
CEJA|Arco piloso sobre el ojo
PESTANA|Pelo del borde del párpado
PARPADO|Membrana que cubre el ojo
PUPILA|Abertura central del iris
IRIS|Parte coloreada del ojo
CORNEA|Membrana transparente del ojo
RETINA|Capa sensible del fondo del ojo
NARIZ|Órgano del olfato
FOSA|Cada cavidad de la nariz
BOCA|Cavidad de la masticación
LABIO|Borde carnoso de la boca
LENGUA|Órgano del gusto
DIENTE|Pieza dura de la boca
MUELA|Diente molar del fondo
COLMILLO|Diente puntiagudo
ENCIA|Tejido que rodea los dientes
PALADAR|Techo de la boca
GARGANTA|Parte interior del cuello
LARINGE|Órgano de la fonación
FARINGE|Conducto entre boca y esófago
AMIGDALA|Glándula de la garganta
CAMPANILLA|Úvula del fondo del paladar
OREJA|Parte externa del oído
TIMPANO|Membrana del oído medio
MEJILLA|Parte lateral de la cara
POMULO|Hueso saliente de la mejilla
MENTON|Punta inferior del rostro
BARBILLA|Extremo del mentón
CUELLO|Une la cabeza al tronco
NUCA|Parte posterior del cuello
HOMBRO|Une el brazo al tronco
BRAZO|Miembro superior
CODO|Articulación media del brazo
ANTEBRAZO|Parte del brazo junto a la mano
MUNECA|Articulación de la mano
MANO|Extremo del brazo
PALMA|Cara interna de la mano
DEDO|Cada extremo de la mano
PULGAR|Dedo más grueso
INDICE|Dedo que señala
MENIQUE|Dedo más pequeño
ANULAR|Dedo del anillo
UNA|Lámina córnea del dedo
NUDILLO|Articulación de los dedos
PECHO|Parte anterior del tórax
TORAX|Cavidad de los pulmones
COSTILLA|Hueso curvo del tórax
ESTERNON|Hueso plano del pecho
CLAVICULA|Hueso entre el cuello y el hombro
OMOPLATO|Hueso plano de la espalda
ESPALDA|Parte posterior del tronco
COLUMNA|Eje de vértebras
VERTEBRA|Hueso de la espina dorsal
CINTURA|Parte estrecha del tronco
ABDOMEN|Vientre del cuerpo
OMBLIGO|Cicatriz del vientre
CADERA|Parte ancha bajo la cintura
PELVIS|Cintura ósea inferior
NALGA|Parte carnosa posterior
MUSLO|Parte alta de la pierna
RODILLA|Articulación central de la pierna
ROTULA|Hueso redondo de la rodilla
PANTORRILLA|Parte carnosa posterior de la pierna
ESPINILLA|Parte anterior de la tibia
TOBILLO|Articulación del pie
TALON|Parte posterior del pie
PLANTA|Cara inferior del pie
EMPEINE|Parte superior del pie
PIE|Extremo de la pierna
CORAZON|Órgano que bombea la sangre
PULMON|Órgano de la respiración
HIGADO|Glándula que depura la sangre
RINON|Órgano que filtra la orina
ESTOMAGO|Órgano de la digestión
INTESTINO|Tubo digestivo largo
PANCREAS|Glándula de la insulina
BAZO|Órgano del sistema linfático
VEJIGA|Depósito de la orina
ESOFAGO|Conducto de la boca al estómago
TRAQUEA|Conducto del aire a los bronquios
BRONQUIO|Conducto del pulmón
DIAFRAGMA|Músculo que separa tórax y abdomen
ARTERIA|Vaso que sale del corazón
VENA|Vaso que retorna la sangre
CAPILAR|Vaso sanguíneo diminuto
SANGRE|Líquido rojo circulante
PLASMA|Parte líquida de la sangre
GLOBULO|Célula de la sangre
PLAQUETA|Célula que ayuda a coagular
HUESO|Pieza dura del esqueleto
ESQUELETO|Armazón óseo del cuerpo
MUSCULO|Tejido que produce el movimiento
TENDON|Une el músculo al hueso
LIGAMENTO|Une dos huesos
CARTILAGO|Tejido flexible de las articulaciones
ARTICULACION|Unión de dos huesos
NERVIO|Conduce los impulsos
NEURONA|Célula del sistema nervioso
MEDULA|Tejido del interior del hueso
GLANDULA|Órgano que segrega sustancias
TIROIDES|Glándula del cuello
HORMONA|Mensajero químico del cuerpo
PIEL|Cubierta externa del cuerpo
PORO|Orificio diminuto de la piel
VELLO|Pelo fino del cuerpo
CABELLO|Pelo de la cabeza
SUDOR|Líquido de la transpiración
SALIVA|Humor de la boca
LAGRIMA|Gota que sale del ojo
MOCO|Secreción de la nariz
