# Sustantivos abstractos: terminaciones en ción, miento, idad, ancia
ABDICACION|Renuncia al trono
ABERRACION|Desviación de lo normal
ABOLICION|Supresión de una ley
ABSORCION|Acción de chupar un líquido
ACELERACION|Aumento de la velocidad
ACEPTACION|Buena acogida de algo
ACLARACION|Explicación que despeja dudas
ACOTACION|Nota al margen del texto
ACREDITACION|Documento que identifica
ACTIVACION|Puesta en marcha
ACTUACION|Intervención ante el público
ACUMULACION|Amontonamiento de cosas
ACUSACION|Imputación de un delito
ADAPTACION|Ajuste a nuevas condiciones
ADICION|Suma de cantidades
ADIVINACION|Predicción de lo oculto
ADJUDICACION|Concesión en una subasta
ADMIRACION|Asombro ante algo grande
ADMISION|Entrada permitida
ADOPCION|Toma de un hijo ajeno como propio
ADORACION|Culto de amor a la divinidad
ADQUISICION|Compra de un bien
AFILIACION|Inscripción en una organización
AFIRMACION|Dicho que sostiene algo
AGITACION|Movimiento inquieto
AGLOMERACION|Amontonamiento de gente
AGRUPACION|Conjunto organizado
ALIMENTACION|Modo de comer
ALTERACION|Cambio del estado normal
ALUCINACION|Visión que no existe
AMPLIACION|Aumento del tamaño
ANIMACION|Alegría y movimiento
ANOTACION|Nota que se escribe
APARICION|Presencia inesperada
APLICACION|Puesta en práctica
APRECIACION|Juicio sobre el valor de algo
APROBACION|Conformidad que se da
APROXIMACION|Acercamiento a algo
ARTICULACION|Punto donde se unen dos huesos
ASIGNACION|Cantidad destinada a algo
ASOCIACION|Grupo con un fin común
ASPIRACION|Deseo de alcanzar algo
ATENCION|Interés que se presta
AUTORIZACION|Permiso que se concede
AVERIGUACION|Indagación de un hecho
BENDICION|Gracia que se invoca
CALCULACION|Operación con cantidades
CALIFICACION|Nota que se pone
CANCELACION|Anulación de un compromiso
CELEBRACION|Fiesta por un motivo
CIRCULACION|Movimiento por las vías
CITACION|Llamada ante el juez
CLASIFICACION|Orden por categorías
COLABORACION|Trabajo hecho con otros
COLECCION|Conjunto reunido de cosas
COLOCACION|Puesta en su sitio
COMBINACION|Unión ordenada de elementos
COMPARACION|Examen de las diferencias
COMPENSACION|Reparación de un daño
COMPETICION|Prueba entre rivales
COMPOSICION|Obra creada por un autor
COMPRENSION|Capacidad de entender
COMUNICACION|Transmisión de un mensaje
CONCENTRACION|Reunión de mucha gente
CONDENSACION|Paso del vapor a líquido
CONDUCCION|Manejo del vehículo
CONFESION|Reconocimiento de la culpa
CONFIGURACION|Disposición de las partes
CONFIRMACION|Ratificación de algo
CONFUSION|Falta de claridad
CONGREGACION|Comunidad religiosa
CONSAGRACION|Dedicación a lo sagrado
CONSERVACION|Mantenimiento en buen estado
CONSIDERACION|Respeto hacia los demás
CONSTRUCCION|Obra que se levanta
CONSULTACION|Petición de parecer
CONTAMINACION|Suciedad del medio ambiente
CONTEMPLACION|Mirada atenta y serena
CONTINUACION|Prosecución de algo
CONTRACCION|Encogimiento de un músculo
CONTRIBUCION|Aportación a un fin
CONVERSACION|Charla entre personas
CONVICCION|Idea firme y arraigada
COOPERACION|Trabajo conjunto
CORRECCION|Enmienda de un error
CORRUPCION|Abuso del cargo por interés
CREACION|Obra hecha de la nada
CURACION|Recuperación de la salud
DECLARACION|Manifestación ante la autoridad
DECORACION|Adorno de una estancia
DEDICACION|Entrega a una tarea
DEFINICION|Explicación del significado
DEFORMACION|Alteración de la forma
DEGRADACION|Pérdida de categoría
DEMOSTRACION|Prueba evidente
DENOMINACION|Nombre que se da
DESAPARICION|Hecho de dejar de verse
DESCRIPCION|Relato de cómo es algo
DESIGNACION|Nombramiento para un cargo
