# Música, artes plásticas, arquitectura, teatro y danza
ABSIDE|Remate curvo del templo
ACORDE|Varias notas que suenan a la vez
ACUARELA|Pintura al agua sobre papel
ADAGIO|Movimiento musical pausado
ADORNO|Lo que embellece sin ser útil
AFINADOR|Quien pone a tono el piano
AGUAFUERTE|Grabado mordido con ácido
AGUJA|Remate puntiagudo de la torre
ALABASTRO|Piedra blanca que se talla
ALARIFE|Maestro de obras antiguo
ALERO|Borde volado del tejado
ALJIBE|Depósito de agua bajo tierra
ALMENA|Diente del muro del castillo
ALTORRELIEVE|Escultura muy saliente del fondo
AMBON|Púlpito de las iglesias antiguas
ANDAMIO|Armazón para trabajar en alto
ANFITEATRO|Gradas en semicírculo
ANTIFONA|Canto alterno del coro
APLIQUE|Lámpara sujeta a la pared
ARABESCO|Adorno de líneas entrelazadas
ARCADA|Serie de arcos seguidos
ARMONIA|Buena combinación de sonidos
ARPEGIO|Notas del acorde una tras otra
ARQUITRABE|Parte baja del entablamento
ARTESONADO|Techo de madera con casetones
ATRIL|Soporte donde se pone la partitura
ATRIO|Espacio delante del templo
BAJORRELIEVE|Escultura que apenas sobresale
BALADA|Canción lenta y sentimental
BALAUSTRE|Columnita de la barandilla
BALCONADA|Serie de balcones seguidos
BANDURRIA|Instrumento de doce cuerdas
BARANDA|Antepecho de la escalera
BARROCO|Estilo recargado del XVII
BASILICA|Templo de nave larga
BATERIA|Conjunto de tambores y platillos
BATUTA|Varilla del director de orquesta
BEMOL|Signo que baja medio tono
BIOMBO|Mampara plegable de varias hojas
BOCETO|Primer apunte de un cuadro
BOHEMIA|Vida libre de los artistas
BOVEDA|Techo curvo de piedra
BUHARDILLA|Cuarto bajo el tejado
BUSTO|Escultura de cabeza y pecho
CADENCIA|Ritmo con que se cierra la frase
CALADO|Labor de huecos en la piedra
CAMERINO|Cuarto donde se viste el actor
CAMPANARIO|Torre de las campanas
CANTATA|Obra para voces y orquesta
CANTERA|Lugar de donde se saca la piedra
CANTOR|El que canta en el coro
CAPITEL|Remate superior de la columna
CARBONCILLO|Barrita negra para dibujar
CARIATIDE|Columna con figura de mujer
CARTELERA|Anuncio de lo que se representa
CASETON|Hueco cuadrado del artesonado
CATEDRAL|Templo de la sede del obispo
CELOSIA|Enrejado que deja ver sin ser visto
CERAMISTA|Quien trabaja el barro cocido
CHAFLAN|Esquina cortada en diagonal
CHAPITEL|Remate puntiagudo de la torre
CIMBORRIO|Cuerpo que levanta la cúpula
CINCEL|Herramienta que talla la piedra
CLARINETE|Instrumento de viento y lengüeta
CLAUSTRO|Galería en torno al patio del convento
CLAVE|Signo al principio del pentagrama
CLAVICORDIO|Teclado antiguo de cuerda pulsada
COLISEO|Gran anfiteatro romano
COLUMNATA|Fila de columnas
COMEDIA|Obra teatral que acaba bien
COMPAS|División del ritmo musical
CONCERTINO|Primer violín de la orquesta
CONTRALTO|Voz femenina más grave
CONTRAFUERTE|Machón que sostiene el muro
CONTRAPUNTO|Arte de combinar melodías
CORCHEA|Nota que vale media negra
CORNISA|Moldura que corona el muro
CORO|Grupo que canta junto
CRESTERIA|Adorno calado del remate gótico
CRIPTA|Recinto bajo el suelo del templo
CROMATICO|Que avanza por medios tonos
CRUCERO|Nave que cruza la principal
CUARTETO|Grupo de cuatro músicos
CUBISMO|Vanguardia de formas geométricas
CUPULA|Bóveda semiesférica
DECORADO|Lo que ambienta la escena
DIAPASON|Horquilla que da la nota
DINTEL|Pieza horizontal sobre el hueco
DISONANCIA|Sonido que hiere el oído
DORICO|Orden griego de columna sencilla
DRAMATURGO|Quien escribe para el teatro
EBANISTA|Quien hace muebles finos
ENLUCIDO|Capa fina que alisa el muro
ENTABLAMENTO|Lo que carga sobre las columnas
