# Casa, oficios, ropa, herramientas y transporte
VESTIBULO|Entrada de la vivienda
RECIBIDOR|Primera estancia de la casa
PASILLO|Corredor que une las habitaciones
SALON|Estancia principal
COMEDOR|Estancia donde se come
COCINA|Estancia donde se guisa
DESPENSA|Cuarto donde se guardan víveres
LAVADERO|Lugar donde se lava la ropa
TENDEDERO|Donde se seca la colada
DORMITORIO|Estancia de las camas
BANO|Cuarto del aseo
ASEO|Servicio pequeño de la casa
DESPACHO|Cuarto de trabajo
BIBLIOTECA|Sala de los libros
TRASTERO|Cuarto de los objetos que no se usan
BUHARDILLA|Estancia bajo el tejado
SOTANO|Piso bajo el nivel del suelo
GARAJE|Lugar donde se guarda el coche
TERRAZA|Espacio descubierto de la vivienda
BALCON|Saliente con barandilla
GALERIA|Corredor acristalado
PATIO|Espacio interior descubierto
JARDIN|Terreno de plantas junto a la casa
PORCHE|Espacio techado ante la entrada
ESCALERA|Sirve para subir de piso
ASCENSOR|Cabina que sube y baja
PORTAL|Entrada del edificio
PORTERIA|Puesto del conserje
BUZON|Recibe la correspondencia
REJA|Enrejado que protege la ventana
PERSIANA|Cierre enrollable de la ventana
CONTRAVENTANA|Postigo de madera de la ventana
CORTINA|Tela que cubre la ventana
VISILLO|Cortina fina y transparente
ALFOMBRA|Cubre parte del suelo
MOQUETA|Recubrimiento textil del suelo
PARQUE|Suelo de tablillas de madera
BALDOSA|Pieza del pavimento
AZULEJO|Pieza vidriada de la pared
ZOCALO|Franja baja de la pared
TABIQUE|Pared delgada de división
VIGA|Madero que sostiene el techo
COLUMNA|Soporte vertical
CIMIENTO|Base sobre la que se levanta el edificio
TEJADO|Cubierta exterior de la casa
TEJA|Pieza curva de la cubierta
CANALON|Recoge el agua del tejado
CHIMENEA|Conducto por el que sale el humo
RADIADOR|Emisor de la calefacción
CALDERA|Produce el agua caliente
TERMO|Depósito que conserva el calor
ENCHUFE|Toma de corriente
INTERRUPTOR|Enciende y apaga la luz
BOMBILLA|Da luz eléctrica
LAMPARA|Soporte que alumbra
FLEXO|Lámpara de brazo articulado
ARANA|Lámpara colgante de muchos brazos
MUEBLE|Silla, mesa o armario
ARMARIO|Mueble para guardar la ropa
COMODA|Mueble bajo de cajones
APARADOR|Mueble del comedor
VITRINA|Mueble de puertas de cristal
ESTANTERIA|Mueble de baldas
MESA|Mueble de tablero y patas
MESILLA|Mueble junto a la cama
SILLA|Asiento con respaldo
BUTACA|Asiento cómodo con brazos
SILLON|Asiento amplio y mullido
SOFA|Asiento largo para varios
TABURETE|Asiento sin respaldo
BANCO|Asiento largo sin tapizar
CAMA|Mueble para dormir
COLCHON|Pieza mullida de la cama
SOMIER|Base que sostiene el colchón
ALMOHADA|Sostiene la cabeza al dormir
SABANA|Ropa de cama que toca el cuerpo
MANTA|Ropa de cama que abriga
EDREDON|Cobertor relleno y ligero
COLCHA|Cubierta decorativa de la cama
FUNDA|Cubierta protectora
CUNA|Cama del bebé
LITERA|Cama de dos pisos
ESPEJO|Refleja la imagen
CUADRO|Pintura enmarcada de la pared
JARRON|Recipiente decorativo de flores
MACETA|Tiesto de las plantas
RELOJ|Marca las horas en la pared
TELEVISOR|Aparato de imagen y sonido
NEVERA|Conserva fríos los alimentos
CONGELADOR|Conserva bajo cero
LAVADORA|Máquina de lavar la ropa
LAVAVAJILLAS|Máquina que friega los platos
SECADORA|Máquina que seca la ropa
HORNO|Aparato de asar
MICROONDAS|Calienta con ondas
CAMPANA|Extrae los humos de la cocina
FREGADERO|Pila donde se friega
GRIFO|Da paso al agua
BANERA|Recipiente para el baño
DUCHA|Chorro de agua de aseo
LAVABO|Pila del cuarto de baño
BIDE|Pieza sanitaria del aseo
INODORO|Taza del retrete
CISTERNA|Depósito que descarga el agua
TOALLA|Paño para secarse
