# Plurales de uso corriente, con la pista también en plural
ABEJAS|Insectos de la colmena
ABRIGOS|Prendas de invierno
ACEITES|Grasas líquidas
ACEITUNAS|Frutos del olivar
ACERAS|Zonas del peatón
ACTORES|Intérpretes de cine
AGUJAS|Llevan el hilo al coser
AGUJEROS|Huecos en la tela
AJOS|Bulbos de dientes fuertes
ALAS|Miembros con que vuelan las aves
ALAMOS|Árboles de ribera
ALDEAS|Pueblos muy pequeños
ALFILERES|Sujetan la tela con su punta
ALMENDRAS|Frutos secos del turrón
ALMOHADAS|Sostienen la cabeza al dormir
ALUMNOS|Asisten a clase
AMIGOS|Compañeros de confianza
AMORES|Sentimientos que mueven el mundo
ANILLOS|Joyas de los dedos
ANIMALES|Seres vivos que se mueven
ANTENAS|Captan la señal
ANOS|Periodos de doce meses
APLAUSOS|Palmas de aprobación
ARBOLES|Plantas de tronco leñoso
ARENAS|Suelos finos de la playa
ARMAS|Instrumentos de combate
ARMARIOS|Muebles de la ropa
ARROYOS|Corrientes pequeñas de agua
ARTISTAS|Creadores de obras de arte
ASIENTOS|Sitios donde sentarse
ASTROS|Cuerpos celestes
ATUNES|Peces de las conservas
AVES|Animales de pico y plumas
AVIONES|Aeronaves de alas fijas
AZULEJOS|Piezas vidriadas de la pared
BAILES|Danzas al son de la música
BALCONES|Salientes con barandilla
BALONES|Esféricos del partido
BANCOS|Asientos largos del parque
BANDERAS|Enseñas de los países
BARCOS|Naves que surcan el mar
BARRIOS|Zonas de la ciudad
BASTONES|Ayudan a caminar
BATALLAS|Combates entre ejércitos
BESOS|Caricias con los labios
BICICLETAS|Vehículos de pedales
BILLETES|Papeles de dinero
BOCAS|Aberturas de la cara
BODAS|Ceremonias del casamiento
BOLSAS|Se lleva la compra en ellas
BOMBEROS|Apagan los incendios
BOSQUES|Terrenos poblados de árboles
BOTAS|Calzados de caña alta
BOTELLAS|Envases de cuello estrecho
BOTONES|Abrochan la camisa
BRAZOS|Miembros superiores
BRUJAS|Hechiceras de la escoba
BUQUES|Barcos de gran tamaño
